,response,category,billie,claude,chatgpt,ryan
304,proponents - protect the integrity in the election since the documents like passport is used - could,opponent save act - unequal burden,1,1,1,
305,proponents - protect the integrity in the election since the documents like passport is used - could,opponent save act - administrative burden,1,1,1,
306,proponents - protect the integrity in the election since the documents like passport is used - could,opponent save act - other valid,0,1,1,
307,proponents - protect the integrity in the election since the documents like passport is used - could,opponent save act - invalid,0,0,0,
308,proponents argue it would protect the integrity of elections by preventing non-citizens from voting.,proponent save act - election integrity,1,1,1,
309,proponents argue it would protect the integrity of elections by preventing non-citizens from voting.,proponent save act - accountability,0,0,0,
310,proponents argue it would protect the integrity of elections by preventing non-citizens from voting.,proponent save act - public confidence in elections,0,0,0,
311,proponents argue it would protect the integrity of elections by preventing non-citizens from voting.,proponent save act - other valid,0,0,0,
312,proponents argue it would protect the integrity of elections by preventing non-citizens from voting.,proponent save act - invalid,0,0,0,
313,proponents argue it would protect the integrity of elections by preventing non-citizens from voting.,opponent save act - voting disenfranchisement,1,1,0,
314,proponents argue it would protect the integrity of elections by preventing non-citizens from voting.,opponent save act - lack of serious problem,1,1,1,
315,proponents argue it would protect the integrity of elections by preventing non-citizens from voting.,opponent save act - unequal burden,1,1,1,
316,proponents argue it would protect the integrity of elections by preventing non-citizens from voting.,opponent save act - administrative burden,1,0,0,
317,proponents argue it would protect the integrity of elections by preventing non-citizens from voting.,opponent save act - other valid,0,0,0,
318,proponents argue it would protect the integrity of elections by preventing non-citizens from voting.,opponent save act - invalid,0,0,0,
319,"proponents claim that the act would eliminate non-legal voters input in elections, while opponents c",proponent save act - election integrity,1,1,1,
320,"proponents claim that the act would eliminate non-legal voters input in elections, while opponents c",proponent save act - accountability,0,0,0,
321,"proponents claim that the act would eliminate non-legal voters input in elections, while opponents c",proponent save act - public confidence in elections,0,0,0,
322,"proponents claim that the act would eliminate non-legal voters input in elections, while opponents c",proponent save act - other valid,0,0,0,
323,"proponents claim that the act would eliminate non-legal voters input in elections, while opponents c",proponent save act - invalid,0,0,0,
324,"proponents claim that the act would eliminate non-legal voters input in elections, while opponents c",opponent save act - voting disenfranchisement,0,1,0,
325,"proponents claim that the act would eliminate non-legal voters input in elections, while opponents c",opponent save act - lack of serious problem,0,0,0,
326,"proponents claim that the act would eliminate non-legal voters input in elections, while opponents c",opponent save act - unequal burden,1,1,1,
327,"proponents claim that the act would eliminate non-legal voters input in elections, while opponents c",opponent save act - administrative burden,0,0,0,
328,"proponents claim that the act would eliminate non-legal voters input in elections, while opponents c",opponent save act - other valid,0,0,0,
329,"proponents claim that the act would eliminate non-legal voters input in elections, while opponents c",opponent save act - invalid,0,0,0,
330,"proponents don't want the votes of immigrants, citizens without ""proper"" identification and maybe al",proponent save act - election integrity,1,1,1,
331,"proponents don't want the votes of immigrants, citizens without ""proper"" identification and maybe al",proponent save act - accountability,1,0,0,
332,"proponents don't want the votes of immigrants, citizens without ""proper"" identification and maybe al",proponent save act - public confidence in elections,0,0,0,
333,"proponents don't want the votes of immigrants, citizens without ""proper"" identification and maybe al",proponent save act - other valid,0,0,1,
334,"proponents don't want the votes of immigrants, citizens without ""proper"" identification and maybe al",proponent save act - invalid,0,0,0,
335,"proponents don't want the votes of immigrants, citizens without ""proper"" identification and maybe al",opponent save act - voting disenfranchisement,0,1,0,
336,"proponents don't want the votes of immigrants, citizens without ""proper"" identification and maybe al",opponent save act - lack of serious problem,0,0,0,
337,"proponents don't want the votes of immigrants, citizens without ""proper"" identification and maybe al",opponent save act - unequal burden,1,1,0,
338,"proponents don't want the votes of immigrants, citizens without ""proper"" identification and maybe al",opponent save act - administrative burden,0,0,0,
339,"proponents don't want the votes of immigrants, citizens without ""proper"" identification and maybe al",opponent save act - other valid,0,0,0,
340,"proponents don't want the votes of immigrants, citizens without ""proper"" identification and maybe al",opponent save act - invalid,0,0,0,
341,proponents of the save act are convinced that noncitizen voters are skewing our election results. du,proponent save act - election integrity,1,1,1,0
342,proponents of the save act are convinced that noncitizen voters are skewing our election results. du,proponent save act - accountability,1,1,1,0
343,proponents of the save act are convinced that noncitizen voters are skewing our election results. du,proponent save act - public confidence in elections,1,0,0,0
344,proponents of the save act are convinced that noncitizen voters are skewing our election results. du,proponent save act - other valid,1,0,0,0
345,proponents of the save act are convinced that noncitizen voters are skewing our election results. du,proponent save act - invalid,1,0,0,0
346,proponents of the save act are convinced that noncitizen voters are skewing our election results. du,opponent save act - voting disenfranchisement,1,0,0,1
347,proponents of the save act are convinced that noncitizen voters are skewing our election results. du,opponent save act - lack of serious problem,1,1,1,1
348,proponents of the save act are convinced that noncitizen voters are skewing our election results. du,opponent save act - unequal burden,1,1,1,0
349,proponents of the save act are convinced that noncitizen voters are skewing our election results. du,opponent save act - administrative burden,1,0,0,0
350,proponents of the save act are convinced that noncitizen voters are skewing our election results. du,opponent save act - other valid,1,1,1,1
351,proponents of the save act are convinced that noncitizen voters are skewing our election results. du,opponent save act - invalid,0,0,0,0
352,"proponents of the save act argue it protects election integrity by preventing non-citizen voting, wh",proponent save act - election integrity,1,1,1,
353,"proponents of the save act argue it protects election integrity by preventing non-citizen voting, wh",proponent save act - accountability,0,0,0,
354,"proponents of the save act argue it protects election integrity by preventing non-citizen voting, wh",proponent save act - public confidence in elections,0,0,0,
355,"proponents of the save act argue it protects election integrity by preventing non-citizen voting, wh",proponent save act - other valid,0,0,0,
356,"proponents of the save act argue it protects election integrity by preventing non-citizen voting, wh",proponent save act - invalid,0,0,0,
357,"proponents of the save act argue it protects election integrity by preventing non-citizen voting, wh",opponent save act - voting disenfranchisement,1,1,1,
358,"proponents of the save act argue it protects election integrity by preventing non-citizen voting, wh",opponent save act - lack of serious problem,1,1,1,
359,"proponents of the save act argue it protects election integrity by preventing non-citizen voting, wh",opponent save act - unequal burden,0,0,0,
360,"proponents of the save act argue it protects election integrity by preventing non-citizen voting, wh",opponent save act - administrative burden,0,0,0,
361,"proponents of the save act argue it protects election integrity by preventing non-citizen voting, wh",opponent save act - other valid,0,0,0,
362,"proponents of the save act argue it protects election integrity by preventing non-citizen voting, wh",opponent save act - invalid,0,0,0,
363,proponents of the save act argue it's needed to protect election integrity by ensuring only u.s. cit,proponent save act - election integrity,1,1,1,
364,proponents of the save act argue it's needed to protect election integrity by ensuring only u.s. cit,proponent save act - accountability,1,1,1,
365,proponents of the save act argue it's needed to protect election integrity by ensuring only u.s. cit,proponent save act - public confidence in elections,1,1,1,
366,proponents of the save act argue it's needed to protect election integrity by ensuring only u.s. cit,proponent save act - other valid,0,0,0,
367,proponents of the save act argue it's needed to protect election integrity by ensuring only u.s. cit,proponent save act - invalid,0,0,0,
368,proponents of the save act argue it's needed to protect election integrity by ensuring only u.s. cit,opponent save act - voting disenfranchisement,1,1,1,
369,proponents of the save act argue it's needed to protect election integrity by ensuring only u.s. cit,opponent save act - lack of serious problem,1,1,1,
370,proponents of the save act argue it's needed to protect election integrity by ensuring only u.s. cit,opponent save act - unequal burden,1,1,1,
371,proponents of the save act argue it's needed to protect election integrity by ensuring only u.s. cit,opponent save act - administrative burden,0,0,0,
372,proponents of the save act argue it's needed to protect election integrity by ensuring only u.s. cit,opponent save act - other valid,0,0,0,
373,proponents of the save act argue it's needed to protect election integrity by ensuring only u.s. cit,opponent save act - invalid,0,0,0,
374,proponents of the save act argue that the legislation is essential to protect election integrity by ,proponent save act - election integrity,1,1,1,
375,proponents of the save act argue that the legislation is essential to protect election integrity by ,proponent save act - accountability,1,1,1,
376,proponents of the save act argue that the legislation is essential to protect election integrity by ,proponent save act - public confidence in elections,0,0,0,
377,proponents of the save act argue that the legislation is essential to protect election integrity by ,proponent save act - other valid,0,1,0,
378,proponents of the save act argue that the legislation is essential to protect election integrity by ,proponent save act - invalid,0,0,1,
379,proponents of the save act argue that the legislation is essential to protect election integrity by ,opponent save act - voting disenfranchisement,1,1,1,
380,proponents of the save act argue that the legislation is essential to protect election integrity by ,opponent save act - lack of serious problem,1,1,1,
381,proponents of the save act argue that the legislation is essential to protect election integrity by ,opponent save act - unequal burden,0,1,1,
382,proponents of the save act argue that the legislation is essential to protect election integrity by ,opponent save act - administrative burden,1,0,0,
383,proponents of the save act argue that the legislation is essential to protect election integrity by ,opponent save act - other valid,0,1,1,
384,proponents of the save act argue that the legislation is essential to protect election integrity by ,opponent save act - invalid,0,0,0,
385,proponents say that the save act is needed to ensure only u.s citizens are voting. opponents say tha,proponent save act - election integrity,1,1,1,
386,proponents say that the save act is needed to ensure only u.s citizens are voting. opponents say tha,proponent save act - accountability,0,0,0,
387,proponents say that the save act is needed to ensure only u.s citizens are voting. opponents say tha,proponent save act - public confidence in elections,0,0,0,
388,proponents say that the save act is needed to ensure only u.s citizens are voting. opponents say tha,proponent save act - other valid,0,0,0,
389,proponents say that the save act is needed to ensure only u.s citizens are voting. opponents say tha,proponent save act - invalid,0,0,0,
390,proponents say that the save act is needed to ensure only u.s citizens are voting. opponents say tha,opponent save act - voting disenfranchisement,1,1,1,
391,proponents say that the save act is needed to ensure only u.s citizens are voting. opponents say tha,opponent save act - lack of serious problem,0,0,0,
392,proponents say that the save act is needed to ensure only u.s citizens are voting. opponents say tha,opponent save act - unequal burden,0,0,0,
393,proponents say that the save act is needed to ensure only u.s citizens are voting. opponents say tha,opponent save act - administrative burden,0,0,0,
394,proponents say that the save act is needed to ensure only u.s citizens are voting. opponents say tha,opponent save act - other valid,0,0,0,
395,proponents say that the save act is needed to ensure only u.s citizens are voting. opponents say tha,opponent save act - invalid,0,0,0,
396,proponents want u.s. voters to provide documents proving they are legal citizens when voting.,proponent save act - election integrity,1,0,0,0
397,proponents want u.s. voters to provide documents proving they are legal citizens when voting.,proponent save act - accountability,1,1,1,0
398,proponents want u.s. voters to provide documents proving they are legal citizens when voting.,proponent save act - public confidence in elections,0,0,0,0
399,proponents want u.s. voters to provide documents proving they are legal citizens when voting.,proponent save act - other valid,0,0,0,0
400,proponents want u.s. voters to provide documents proving they are legal citizens when voting.,proponent save act - invalid,0,0,0,0
401,proponents want u.s. voters to provide documents proving they are legal citizens when voting.,opponent save act - voting disenfranchisement,0,0,0,0
402,proponents want u.s. voters to provide documents proving they are legal citizens when voting.,opponent save act - lack of serious problem,0,0,0,0
403,proponents want u.s. voters to provide documents proving they are legal citizens when voting.,opponent save act - unequal burden,0,0,0,0
404,proponents want u.s. voters to provide documents proving they are legal citizens when voting.,opponent save act - administrative burden,0,0,0,0
405,proponents want u.s. voters to provide documents proving they are legal citizens when voting.,opponent save act - other valid,0,0,0,0
406,proponents want u.s. voters to provide documents proving they are legal citizens when voting.,opponent save act - invalid,0,0,0,0
407,"proponents want voters to have id, opponents do not.",proponent save act - election integrity,0,0,0,
408,"proponents want voters to have id, opponents do not.",proponent save act - accountability,1,1,1,
409,"proponents want voters to have id, opponents do not.",proponent save act - public confidence in elections,0,0,0,
410,"proponents want voters to have id, opponents do not.",proponent save act - other valid,0,0,0,
411,"proponents want voters to have id, opponents do not.",proponent save act - invalid,0,0,0,
412,"proponents want voters to have id, opponents do not.",opponent save act - voting disenfranchisement,0,0,0,
413,"proponents want voters to have id, opponents do not.",opponent save act - lack of serious problem,0,0,0,
414,"proponents want voters to have id, opponents do not.",opponent save act - unequal burden,0,0,0,
415,"proponents want voters to have id, opponents do not.",opponent save act - administrative burden,0,0,0,
416,"proponents want voters to have id, opponents do not.",opponent save act - other valid,0,0,0,
417,"proponents want voters to have id, opponents do not.",opponent save act - invalid,0,0,0,
418,proponents would like it to pass so that voting by non-citizens can be prevented. the opponents' sid,proponent save act - election integrity,1,1,1,
419,proponents would like it to pass so that voting by non-citizens can be prevented. the opponents' sid,proponent save act - accountability,0,0,0,
420,proponents would like it to pass so that voting by non-citizens can be prevented. the opponents' sid,proponent save act - public confidence in elections,0,0,0,
421,proponents would like it to pass so that voting by non-citizens can be prevented. the opponents' sid,proponent save act - other valid,0,0,0,
422,proponents would like it to pass so that voting by non-citizens can be prevented. the opponents' sid,proponent save act - invalid,0,0,0,
423,proponents would like it to pass so that voting by non-citizens can be prevented. the opponents' sid,opponent save act - voting disenfranchisement,0,0,0,
424,proponents would like it to pass so that voting by non-citizens can be prevented. the opponents' sid,opponent save act - lack of serious problem,0,0,0,
425,proponents would like it to pass so that voting by non-citizens can be prevented. the opponents' sid,opponent save act - unequal burden,1,1,1,
426,proponents would like it to pass so that voting by non-citizens can be prevented. the opponents' sid,opponent save act - administrative burden,0,0,0,
427,proponents would like it to pass so that voting by non-citizens can be prevented. the opponents' sid,opponent save act - other valid,0,0,0,
428,proponents would like it to pass so that voting by non-citizens can be prevented. the opponents' sid,opponent save act - invalid,0,0,0,
429,proponents: - the save act would prevent voter fraud and restore election security/confidence - the ,proponent save act - election integrity,1,1,1,
430,proponents: - the save act would prevent voter fraud and restore election security/confidence - the ,proponent save act - accountability,0,0,0,
431,proponents: - the save act would prevent voter fraud and restore election security/confidence - the ,proponent save act - public confidence in elections,1,1,1,
432,proponents: - the save act would prevent voter fraud and restore election security/confidence - the ,proponent save act - other valid,0,1,1,
433,proponents: - the save act would prevent voter fraud and restore election security/confidence - the ,proponent save act - invalid,0,0,0,
434,proponents: - the save act would prevent voter fraud and restore election security/confidence - the ,opponent save act - voting disenfranchisement,1,1,1,
435,proponents: - the save act would prevent voter fraud and restore election security/confidence - the ,opponent save act - lack of serious problem,1,1,1,
436,proponents: - the save act would prevent voter fraud and restore election security/confidence - the ,opponent save act - unequal burden,0,0,0,
437,proponents: - the save act would prevent voter fraud and restore election security/confidence - the ,opponent save act - administrative burden,1,0,0,
438,proponents: - the save act would prevent voter fraud and restore election security/confidence - the ,opponent save act - other valid,0,1,1,
439,proponents: - the save act would prevent voter fraud and restore election security/confidence - the ,opponent save act - invalid,0,0,0,
440,proponents: ensuring only citizens vote accountability and verification public confidence/political ,proponent save act - election integrity,1,1,1,
441,proponents: ensuring only citizens vote accountability and verification public confidence/political ,proponent save act - accountability,1,1,1,
442,proponents: ensuring only citizens vote accountability and verification public confidence/political ,proponent save act - public confidence in elections,1,1,1,
443,proponents: ensuring only citizens vote accountability and verification public confidence/political ,proponent save act - other valid,0,1,1,
444,proponents: ensuring only citizens vote accountability and verification public confidence/political ,proponent save act - invalid,0,0,0,
445,proponents: ensuring only citizens vote accountability and verification public confidence/political ,opponent save act - voting disenfranchisement,1,1,1,
446,proponents: ensuring only citizens vote accountability and verification public confidence/political ,opponent save act - lack of serious problem,0,1,1,
447,proponents: ensuring only citizens vote accountability and verification public confidence/political ,opponent save act - unequal burden,0,0,0,
448,proponents: ensuring only citizens vote accountability and verification public confidence/political ,opponent save act - administrative burden,1,1,1,
449,proponents: ensuring only citizens vote accountability and verification public confidence/political ,opponent save act - other valid,0,1,1,
450,proponents: ensuring only citizens vote accountability and verification public confidence/political ,opponent save act - invalid,0,0,0,
451,"proponents: the bill is necessary because the current system is vulnerable to ""illegal aliens"" and t",proponent save act - election integrity,1,1,1,
452,"proponents: the bill is necessary because the current system is vulnerable to ""illegal aliens"" and t",proponent save act - accountability,1,1,1,
453,"proponents: the bill is necessary because the current system is vulnerable to ""illegal aliens"" and t",proponent save act - public confidence in elections,1,0,0,
454,"proponents: the bill is necessary because the current system is vulnerable to ""illegal aliens"" and t",proponent save act - other valid,0,0,0,
455,"proponents: the bill is necessary because the current system is vulnerable to ""illegal aliens"" and t",proponent save act - invalid,0,0,0,
456,"proponents: the bill is necessary because the current system is vulnerable to ""illegal aliens"" and t",opponent save act - voting disenfranchisement,1,1,1,
457,"proponents: the bill is necessary because the current system is vulnerable to ""illegal aliens"" and t",opponent save act - lack of serious problem,1,1,1,
458,"proponents: the bill is necessary because the current system is vulnerable to ""illegal aliens"" and t",opponent save act - unequal burden,0,1,0,
459,"proponents: the bill is necessary because the current system is vulnerable to ""illegal aliens"" and t",opponent save act - administrative burden,1,0,0,
460,"proponents: the bill is necessary because the current system is vulnerable to ""illegal aliens"" and t",opponent save act - other valid,0,0,0,
461,"proponents: the bill is necessary because the current system is vulnerable to ""illegal aliens"" and t",opponent save act - invalid,0,0,0,
462,protect our elections versus undue hardship on voting,proponent save act - election integrity,1,1,1,
463,protect our elections versus undue hardship on voting,proponent save act - accountability,0,0,0,
464,protect our elections versus undue hardship on voting,proponent save act - public confidence in elections,0,0,0,
465,protect our elections versus undue hardship on voting,proponent save act - other valid,0,0,0,
466,protect our elections versus undue hardship on voting,proponent save act - invalid,0,0,0,
467,protect our elections versus undue hardship on voting,opponent save act - voting disenfranchisement,0,1,1,
468,protect our elections versus undue hardship on voting,opponent save act - lack of serious problem,0,0,0,
469,protect our elections versus undue hardship on voting,opponent save act - unequal burden,0,0,0,
470,protect our elections versus undue hardship on voting,opponent save act - administrative burden,1,0,0,
471,protect our elections versus undue hardship on voting,opponent save act - other valid,0,0,0,
472,protect our elections versus undue hardship on voting,opponent save act - invalid,0,0,0,
473,requires us voters to show document proof of citizenship when registering for voting.,proponent save act - election integrity,0,0,0,
474,requires us voters to show document proof of citizenship when registering for voting.,proponent save act - accountability,1,0,1,
475,requires us voters to show document proof of citizenship when registering for voting.,proponent save act - public confidence in elections,0,0,0,
476,requires us voters to show document proof of citizenship when registering for voting.,proponent save act - other valid,0,0,0,
477,requires us voters to show document proof of citizenship when registering for voting.,proponent save act - invalid,0,0,0,
478,requires us voters to show document proof of citizenship when registering for voting.,opponent save act - voting disenfranchisement,0,0,0,
479,requires us voters to show document proof of citizenship when registering for voting.,opponent save act - lack of serious problem,0,0,0,
480,requires us voters to show document proof of citizenship when registering for voting.,opponent save act - unequal burden,0,0,0,
481,requires us voters to show document proof of citizenship when registering for voting.,opponent save act - administrative burden,0,0,0,
482,requires us voters to show document proof of citizenship when registering for voting.,opponent save act - other valid,0,0,0,
483,requires us voters to show document proof of citizenship when registering for voting.,opponent save act - invalid,0,0,0,
484,safeguard against voting fraud and protecting citizens from illegals and cartels from participating ,proponent save act - election integrity,1,1,1,
485,safeguard against voting fraud and protecting citizens from illegals and cartels from participating ,proponent save act - accountability,0,0,0,
486,safeguard against voting fraud and protecting citizens from illegals and cartels from participating ,proponent save act - public confidence in elections,0,0,0,
487,safeguard against voting fraud and protecting citizens from illegals and cartels from participating ,proponent save act - other valid,0,0,0,
488,safeguard against voting fraud and protecting citizens from illegals and cartels from participating ,proponent save act - invalid,0,0,0,
489,safeguard against voting fraud and protecting citizens from illegals and cartels from participating ,opponent save act - voting disenfranchisement,1,1,0,
490,safeguard against voting fraud and protecting citizens from illegals and cartels from participating ,opponent save act - lack of serious problem,0,1,1,
491,safeguard against voting fraud and protecting citizens from illegals and cartels from participating ,opponent save act - unequal burden,0,1,1,
492,safeguard against voting fraud and protecting citizens from illegals and cartels from participating ,opponent save act - administrative burden,1,0,0,
493,safeguard against voting fraud and protecting citizens from illegals and cartels from participating ,opponent save act - other valid,0,0,0,
494,safeguard against voting fraud and protecting citizens from illegals and cartels from participating ,opponent save act - invalid,0,0,0,
495,some argue that we need the s.a.v.e act to prevent non-americans from voting to ensure only citizens,proponent save act - election integrity,1,1,1,
496,some argue that we need the s.a.v.e act to prevent non-americans from voting to ensure only citizens,proponent save act - accountability,0,0,0,
497,some argue that we need the s.a.v.e act to prevent non-americans from voting to ensure only citizens,proponent save act - public confidence in elections,0,0,0,
498,some argue that we need the s.a.v.e act to prevent non-americans from voting to ensure only citizens,proponent save act - other valid,0,0,0,
499,some argue that we need the s.a.v.e act to prevent non-americans from voting to ensure only citizens,proponent save act - invalid,0,0,0,
500,some argue that we need the s.a.v.e act to prevent non-americans from voting to ensure only citizens,opponent save act - voting disenfranchisement,1,1,1,
501,some argue that we need the s.a.v.e act to prevent non-americans from voting to ensure only citizens,opponent save act - lack of serious problem,1,1,1,
502,some argue that we need the s.a.v.e act to prevent non-americans from voting to ensure only citizens,opponent save act - unequal burden,0,0,0,
503,some argue that we need the s.a.v.e act to prevent non-americans from voting to ensure only citizens,opponent save act - administrative burden,0,0,0,
504,some argue that we need the s.a.v.e act to prevent non-americans from voting to ensure only citizens,opponent save act - other valid,0,0,0,
505,some argue that we need the s.a.v.e act to prevent non-americans from voting to ensure only citizens,opponent save act - invalid,0,0,0,
506,"some of the proponents of the save act consist of closing a ""dangerous loophole"" in voting registrat",proponent save act - election integrity,0,1,1,
507,"some of the proponents of the save act consist of closing a ""dangerous loophole"" in voting registrat",proponent save act - accountability,0,0,0,
508,"some of the proponents of the save act consist of closing a ""dangerous loophole"" in voting registrat",proponent save act - public confidence in elections,1,0,0,
509,"some of the proponents of the save act consist of closing a ""dangerous loophole"" in voting registrat",proponent save act - other valid,0,0,0,
510,"some of the proponents of the save act consist of closing a ""dangerous loophole"" in voting registrat",proponent save act - invalid,0,0,0,
511,"some of the proponents of the save act consist of closing a ""dangerous loophole"" in voting registrat",opponent save act - voting disenfranchisement,0,0,0,
512,"some of the proponents of the save act consist of closing a ""dangerous loophole"" in voting registrat",opponent save act - lack of serious problem,0,0,0,
513,"some of the proponents of the save act consist of closing a ""dangerous loophole"" in voting registrat",opponent save act - unequal burden,0,0,0,
514,"some of the proponents of the save act consist of closing a ""dangerous loophole"" in voting registrat",opponent save act - administrative burden,0,0,0,
515,"some of the proponents of the save act consist of closing a ""dangerous loophole"" in voting registrat",opponent save act - other valid,0,0,0,
516,"some of the proponents of the save act consist of closing a ""dangerous loophole"" in voting registrat",opponent save act - invalid,0,1,1,
517,"support involves, almost entirely, the prevention of 'illegals' from voting, and slashing arguments ",proponent save act - election integrity,1,1,1,
518,"support involves, almost entirely, the prevention of 'illegals' from voting, and slashing arguments ",proponent save act - accountability,0,0,0,
519,"support involves, almost entirely, the prevention of 'illegals' from voting, and slashing arguments ",proponent save act - public confidence in elections,0,0,0,
520,"support involves, almost entirely, the prevention of 'illegals' from voting, and slashing arguments ",proponent save act - other valid,0,0,0,
521,"support involves, almost entirely, the prevention of 'illegals' from voting, and slashing arguments ",proponent save act - invalid,0,0,1,
522,"support involves, almost entirely, the prevention of 'illegals' from voting, and slashing arguments ",opponent save act - voting disenfranchisement,0,0,0,
523,"support involves, almost entirely, the prevention of 'illegals' from voting, and slashing arguments ",opponent save act - lack of serious problem,0,0,0,
524,"support involves, almost entirely, the prevention of 'illegals' from voting, and slashing arguments ",opponent save act - unequal burden,1,1,0,
525,"support involves, almost entirely, the prevention of 'illegals' from voting, and slashing arguments ",opponent save act - administrative burden,0,0,0,
526,"support involves, almost entirely, the prevention of 'illegals' from voting, and slashing arguments ",opponent save act - other valid,0,0,1,
527,"support involves, almost entirely, the prevention of 'illegals' from voting, and slashing arguments ",opponent save act - invalid,0,0,0,
528,supporters of the save act argue that it helps protect u.s. elections by making sure only citizens c,proponent save act - election integrity,1,1,1,
529,supporters of the save act argue that it helps protect u.s. elections by making sure only citizens c,proponent save act - accountability,0,0,0,
530,supporters of the save act argue that it helps protect u.s. elections by making sure only citizens c,proponent save act - public confidence in elections,1,0,0,
531,supporters of the save act argue that it helps protect u.s. elections by making sure only citizens c,proponent save act - other valid,0,0,0,
532,supporters of the save act argue that it helps protect u.s. elections by making sure only citizens c,proponent save act - invalid,0,0,0,
533,supporters of the save act argue that it helps protect u.s. elections by making sure only citizens c,opponent save act - voting disenfranchisement,1,1,0,
534,supporters of the save act argue that it helps protect u.s. elections by making sure only citizens c,opponent save act - lack of serious problem,1,1,1,
535,supporters of the save act argue that it helps protect u.s. elections by making sure only citizens c,opponent save act - unequal burden,1,1,1,
536,supporters of the save act argue that it helps protect u.s. elections by making sure only citizens c,opponent save act - administrative burden,0,0,0,
537,supporters of the save act argue that it helps protect u.s. elections by making sure only citizens c,opponent save act - other valid,0,0,0,
538,supporters of the save act argue that it helps protect u.s. elections by making sure only citizens c,opponent save act - invalid,0,0,0,
539,supporters of the save act say it is needed to protect election integrity by making sure only u.s. c,proponent save act - election integrity,1,1,1,
540,supporters of the save act say it is needed to protect election integrity by making sure only u.s. c,proponent save act - accountability,1,1,1,
541,supporters of the save act say it is needed to protect election integrity by making sure only u.s. c,proponent save act - public confidence in elections,1,1,1,
542,supporters of the save act say it is needed to protect election integrity by making sure only u.s. c,proponent save act - other valid,0,0,0,
543,supporters of the save act say it is needed to protect election integrity by making sure only u.s. c,proponent save act - invalid,0,0,0,
544,supporters of the save act say it is needed to protect election integrity by making sure only u.s. c,opponent save act - voting disenfranchisement,1,1,1,
545,supporters of the save act say it is needed to protect election integrity by making sure only u.s. c,opponent save act - lack of serious problem,1,1,1,
546,supporters of the save act say it is needed to protect election integrity by making sure only u.s. c,opponent save act - unequal burden,1,1,1,
547,supporters of the save act say it is needed to protect election integrity by making sure only u.s. c,opponent save act - administrative burden,0,0,0,
548,supporters of the save act say it is needed to protect election integrity by making sure only u.s. c,opponent save act - other valid,1,0,0,
549,supporters of the save act say it is needed to protect election integrity by making sure only u.s. c,opponent save act - invalid,1,0,0,
550,supporters of the save act say it protects elections by making sure only u.s. citizens can vote. the,proponent save act - election integrity,1,1,1,1
551,supporters of the save act say it protects elections by making sure only u.s. citizens can vote. the,proponent save act - accountability,0,0,0,0
552,supporters of the save act say it protects elections by making sure only u.s. citizens can vote. the,proponent save act - public confidence in elections,1,1,1,1
553,supporters of the save act say it protects elections by making sure only u.s. citizens can vote. the,proponent save act - other valid,0,0,0,0
554,supporters of the save act say it protects elections by making sure only u.s. citizens can vote. the,proponent save act - invalid,0,0,0,0
555,supporters of the save act say it protects elections by making sure only u.s. citizens can vote. the,opponent save act - voting disenfranchisement,1,1,1,1
556,supporters of the save act say it protects elections by making sure only u.s. citizens can vote. the,opponent save act - lack of serious problem,1,1,1,1
557,supporters of the save act say it protects elections by making sure only u.s. citizens can vote. the,opponent save act - unequal burden,1,1,1,1
558,supporters of the save act say it protects elections by making sure only u.s. citizens can vote. the,opponent save act - administrative burden,1,0,1,1
559,supporters of the save act say it protects elections by making sure only u.s. citizens can vote. the,opponent save act - other valid,0,0,0,0
560,supporters of the save act say it protects elections by making sure only u.s. citizens can vote. the,opponent save act - invalid,0,0,0,0
561,"supporters say the save act prevents voter fraud, ensures only u.s. citizens vote, and protects elec",proponent save act - election integrity,1,1,1,
562,"supporters say the save act prevents voter fraud, ensures only u.s. citizens vote, and protects elec",proponent save act - accountability,0,0,0,
563,"supporters say the save act prevents voter fraud, ensures only u.s. citizens vote, and protects elec",proponent save act - public confidence in elections,0,0,0,
564,"supporters say the save act prevents voter fraud, ensures only u.s. citizens vote, and protects elec",proponent save act - other valid,0,0,0,
565,"supporters say the save act prevents voter fraud, ensures only u.s. citizens vote, and protects elec",proponent save act - invalid,0,0,0,
566,"supporters say the save act prevents voter fraud, ensures only u.s. citizens vote, and protects elec",opponent save act - voting disenfranchisement,1,1,1,
567,"supporters say the save act prevents voter fraud, ensures only u.s. citizens vote, and protects elec",opponent save act - lack of serious problem,1,1,1,
568,"supporters say the save act prevents voter fraud, ensures only u.s. citizens vote, and protects elec",opponent save act - unequal burden,1,1,0,
569,"supporters say the save act prevents voter fraud, ensures only u.s. citizens vote, and protects elec",opponent save act - administrative burden,0,0,0,
570,"supporters say the save act prevents voter fraud, ensures only u.s. citizens vote, and protects elec",opponent save act - other valid,0,1,0,
571,"supporters say the save act prevents voter fraud, ensures only u.s. citizens vote, and protects elec",opponent save act - invalid,0,0,0,
572,that the save act may represent a highly contentious issue with a strong rhetoric from both sides of,proponent save act - election integrity,0,0,0,
573,that the save act may represent a highly contentious issue with a strong rhetoric from both sides of,proponent save act - accountability,0,0,0,
574,that the save act may represent a highly contentious issue with a strong rhetoric from both sides of,proponent save act - public confidence in elections,0,0,0,
575,that the save act may represent a highly contentious issue with a strong rhetoric from both sides of,proponent save act - other valid,0,0,0,
576,that the save act may represent a highly contentious issue with a strong rhetoric from both sides of,proponent save act - invalid,0,0,0,
577,that the save act may represent a highly contentious issue with a strong rhetoric from both sides of,opponent save act - voting disenfranchisement,0,0,0,
